Name,Total,SFW,Purity %
Maikaze,1073,1015,=100-(($B172-$C172)/$B172)*100
Akigumo,2005,1855,=100-(($B173-$C173)/$B173)*100
Yuugumo,1394,1176,=100-(($B174-$C174)/$B174)*100
Makigumo,1377,1294,=100-(($B175-$C175)/$B175)*100
Kazagumo,607,563,=100-(($B176-$C176)/$B176)*100
Naganami,2105,1787,=100-(($B177-$C177)/$B177)*100
Takanami,676,623,=100-(($B178-$C178)/$B178)*100
Fujinami,389,371,=100-(($B179-$C179)/$B179)*100
Hayanami,151,140,=100-(($B180-$C180)/$B180)*100
Hamanami,358,313,=100-(($B181-$C181)/$B181)*100
Okinami,460,428,=100-(($B182-$C182)/$B182)*100
Kishinami,333,296,=100-(($B183-$C183)/$B183)*100
Asashimo,1250,1175,=100-(($B184-$C184)/$B184)*100
Hayashimo,1155,1041,=100-(($B185-$C185)/$B185)*100
Akishimo,104,93,=100-(($B186-$C186)/$B186)*100
Kiyoshimo,2178,1973,=100-(($B187-$C187)/$B187)*100
Shimakaze,13441,10047,=100-(($B188-$C188)/$B188)*100
Akizuki,1681,1464,=100-(($B189-$C189)/$B189)*100
Teruzuki,1253,999,=100-(($B190-$C190)/$B190)*100
Suzutsuki,850,685,=100-(($B191-$C191)/$B191)*100
Hatsuzuki,1660,1359,=100-(($B192-$C192)/$B192)*100
Z1_leberecht_maass,2462,2003,=100-(($B193-$C193)/$B193)*100
Z3_max_schultz,2426,1920,=100-(($B194-$C194)/$B194)*100
Maestrale,187,138,=100-(($B195-$C195)/$B195)*100
Grecale,230,156,=100-(($B196-$C196)/$B196)*100
Libeccio,1152,907,=100-(($B197-$C197)/$B197)*100
Jervis,793,730,=100-(($B198-$C198)/$B198)*100
Janus,169,158,=100-(($B199-$C199)/$B199)*100
Tashkent,845,766,=100-(($B200-$C200)/$B200)*100
Samuel_b._roberts,467,424,=100-(($B201-$C201)/$B201)*100
Fletcher,373,321,=100-(($B202-$C202)/$B202)*100
Johnston,507,450,=100-(($B203-$C203)/$B203)*100
Shimushu,357,336,=100-(($B204-$C204)/$B204)*100
Kunashiri,266,246,=100-(($B205-$C205)/$B205)*100
Hachijou,117,99,=100-(($B206-$C206)/$B206)*100
Ishigaki,84,71,=100-(($B207-$C207)/$B207)*100
Etorofu,832,727,=100-(($B208-$C208)/$B208)*100
Matsuwa,498,446,=100-(($B209-$C209)/$B209)*100
Sado,412,370,=100-(($B210-$C210)/$B210)*100
Tsushima,543,443,=100-(($B211-$C211)/$B211)*100
Hirato,75,68,=100-(($B212-$C212)/$B212)*100
Fukae,175,159,=100-(($B213-$C213)/$B213)*100
Mikura,133,125,=100-(($B214-$C214)/$B214)*100
Hiburi,237,223,=100-(($B215-$C215)/$B215)*100
Daitou,234,205,=100-(($B216-$C216)/$B216)*100
I-168,1690,1551,=100-(($B217-$C217)/$B217)*100
I-58,2847,2681,=100-(($B218-$C218)/$B218)*100
I-19,2993,2393,=100-(($B219-$C219)/$B219)*100
I-8,1840,1630,=100-(($B220-$C220)/$B220)*100
I-400,182,142,=100-(($B221-$C221)/$B221)*100
I-401,2415,1972,=100-(($B222-$C222)/$B222)*100
I-26,930,686,=100-(($B223-$C223)/$B223)*100
I-13,538,457,=100-(($B224-$C224)/$B224)*100
I-14,457,396,=100-(($B225-$C225)/$B225)*100
Maru-yu,1547,1447,=100-(($B226-$C226)/$B226)*100
U-511,1991,1871,=100-(($B227-$C227)/$B227)*100
Ro-500,3839,3046,=100-(($B228-$C228)/$B228)*100
Luigi_torelli,205,172,=100-(($B229-$C229)/$B229)*100
Chitose,984,879,=100-(($B230-$C230)/$B230)*100
Chiyoda,669,562,=100-(($B231-$C231)/$B231)*100
Akitsushima,773,677,=100-(($B232-$C232)/$B232)*100
Mizuho,467,427,=100-(($B233-$C233)/$B233)*100
Commandant_teste,701,659,=100-(($B234-$C234)/$B234)*100
Nisshin,189,173,=100-(($B235-$C235)/$B235)*100
Akitsu_maru,2129,1737,=100-(($B236-$C236)/$B236)*100
Shinshuu_maru,279,215,=100-(($B237-$C237)/$B237)*100
Akashi,4003,3629,=100-(($B238-$C238)/$B238)*100
Taigei,2060,1653,=100-(($B239-$C239)/$B239)*100
Hayasui,880,713,=100-(($B240-$C240)/$B240)*100
Kamoi,1169,769,=100-(($B241-$C241)/$B241)*100
Mamiya,1006,901,=100-(($B242-$C242)/$B242)*100
Irako,476,440,=100-(($B243-$C243)/$B243)*100
