Name,Total,SFW,Purity %
Arizona,22,19,=100-(($B47-$C47)/$B47)*100
Tennessee,59,46,=100-(($B48-$C48)/$B48)*100
California,33,24,=100-(($B49-$C49)/$B49)*100
Colorado,97,85,=100-(($B50-$C50)/$B50)*100
Maryland,33,28,=100-(($B51-$C51)/$B51)*100
West_virginia,51,49,=100-(($B52-$C52)/$B52)*100
North_carolina,130,90,=100-(($B53-$C53)/$B53)*100
Washington,120,94,=100-(($B54-$C54)/$B54)*100
South_dakota,215,118,=100-(($B55-$C55)/$B55)*100
Long_island,155,131,=100-(($B56-$C56)/$B56)*100
Bogue,14,12,=100-(($B57-$C57)/$B57)*100
Langley,30,25,=100-(($B58-$C58)/$B58)*100
Lexington,40,40,=100-(($B59-$C59)/$B59)*100
Saratoga,240,219,=100-(($B60-$C60)/$B60)*100
Ranger,69,47,=100-(($B61-$C61)/$B61)*100
Yorktown,131,125,=100-(($B62-$C62)/$B62)*100
Enterprise,1362,1145,=100-(($B63-$C63)/$B63)*100
Hornet,127,113,=100-(($B64-$C64)/$B64)*100
Wasp,4,4,=100-(($B65-$C65)/$B65)*100
Vestal,66,56,=100-(($B66-$C66)/$B66)*100
Amazon,65,52,=100-(($B67-$C67)/$B67)*100
Acasta,18,14,=100-(($B68-$C68)/$B68)*100
Ardent,10,8,=100-(($B69-$C69)/$B69)*100
Beagle,10,10,=100-(($B70-$C70)/$B70)*100
Bulldog,17,17,=100-(($B71-$C71)/$B71)*100
Comet,32,28,=100-(($B72-$C72)/$B72)*100
Crescent,56,44,=100-(($B73-$C73)/$B73)*100
Cygnet,264,188,=100-(($B74-$C74)/$B74)*100
Foxhound,41,25,=100-(($B75-$C75)/$B75)*100
Fortune,16,12,=100-(($B76-$C76)/$B76)*100
Grenville,85,61,=100-(($B77-$C77)/$B77)*100
Glowworm,38,32,=100-(($B78-$C78)/$B78)*100
Hardy,12,10,=100-(($B79-$C79)/$B79)*100
Hunter,18,16,=100-(($B80-$C80)/$B80)*100
Javelin,990,835,=100-(($B81-$C81)/$B81)*100
Juno,41,41,=100-(($B82-$C82)/$B82)*100
Vampire,497,363,=100-(($B83-$C83)/$B83)*100
Leander,45,33,=100-(($B84-$C84)/$B84)*100
Achilles,11,9,=100-(($B85-$C85)/$B85)*100
Ajax,146,108,=100-(($B86-$C86)/$B86)*100
Dido,337,222,=100-(($B87-$C87)/$B87)*100
Southampton,25,24,=100-(($B88-$C88)/$B88)*100
Sheffield,321,216,=100-(($B89-$C89)/$B89)*100
Gloucester,20,14,=100-(($B90-$C90)/$B90)*100
Edinburgh,92,85,=100-(($B91-$C91)/$B91)*100
Belfast,2307,1624,=100-(($B92-$C92)/$B92)*100
Arethusa,9,7,=100-(($B93-$C93)/$B93)*100
Galatea,3,3,=100-(($B94-$C94)/$B94)*100
Aurora,60,45,=100-(($B95-$C95)/$B95)*100
London,62,54,=100-(($B96-$C96)/$B96)*100
Shropshire,60,42,=100-(($B97-$C97)/$B97)*100
Kent,31,16,=100-(($B98-$C98)/$B98)*100
Suffolk,57,48,=100-(($B99-$C99)/$B99)*100
Norfolk,28,24,=100-(($B100-$C100)/$B100)*100
Dorsetshire,4,4,=100-(($B101-$C101)/$B101)*100
York,29,25,=100-(($B102-$C102)/$B102)*100
Exeter,17,14,=100-(($B103-$C103)/$B103)*100
Renown,75,61,=100-(($B104-$C104)/$B104)*100
Repulse,79,69,=100-(($B105-$C105)/$B105)*100
Hood,256,205,=100-(($B106-$C106)/$B106)*100
Queen_elizabeth,426,330,=100-(($B107-$C107)/$B107)*100
Warspite,329,247,=100-(($B108-$C108)/$B108)*100
Nelson,198,127,=100-(($B109-$C109)/$B109)*100
Rodney,101,67,=100-(($B110-$C110)/$B110)*100
King_george_v,34,27,=100-(($B111-$C111)/$B111)*100
Prince_of_wales,249,166,=100-(($B112-$C112)/$B112)*100
Duke_of_york,65,51,=100-(($B113-$C113)/$B113)*100
Hermes,18,18,=100-(($B114-$C114)/$B114)*100
Unicorn,2303,1787,=100-(($B115-$C115)/$B115)*100
Ark_royal,241,221,=100-(($B116-$C116)/$B116)*100
Illustrious,1243,923,=100-(($B117-$C117)/$B117)*100
Victorious,238,180,=100-(($B118-$C118)/$B118)*100
Formidable,1681,1230,=100-(($B119-$C119)/$B119)*100
Glorious,49,43,=100-(($B120-$C120)/$B120)*100
Erebus,111,106,=100-(($B121-$C121)/$B121)*100
Terror,106,86,=100-(($B122-$C122)/$B122)*100
Fubuki,115,100,=100-(($B123-$C123)/$B123)*100
Ayanami,1524,1222,=100-(($B124-$C124)/$B124)*100
Akatsuki,29,29,=100-(($B125-$C125)/$B125)*100
Hibiki,60,42,=100-(($B126-$C126)/$B126)*100
Ikazuchi,68,64,=100-(($B127-$C127)/$B127)*100
Inazuma,70,66,=100-(($B128-$C128)/$B128)*100
Shiratsuyu,66,57,=100-(($B129-$C129)/$B129)*100
Yuudachi,534,408,=100-(($B130-$C130)/$B130)*100
Shigure,178,145,=100-(($B131-$C131)/$B131)*100
Yukikaze,216,164,=100-(($B132-$C132)/$B132)*100
Kagerou,21,20,=100-(($B133-$C133)/$B133)*100
Shiranui,92,83,=100-(($B134-$C134)/$B134)*100
Nowaki,12,12,=100-(($B135-$C135)/$B135)*100
Hatsuharu,13,11,=100-(($B136-$C136)/$B136)*100
Wakaba,12,12,=100-(($B137-$C137)/$B137)*100
Hatsushimo,13,10,=100-(($B138-$C138)/$B138)*100
Ariake,16,15,=100-(($B139-$C139)/$B139)*100
Yuugure,29,24,=100-(($B140-$C140)/$B140)*100
Kuroshio,15,13,=100-(($B141-$C141)/$B141)*100
Oyashio,10,9,=100-(($B142-$C142)/$B142)*100
Yuubari,37,27,=100-(($B143-$C143)/$B143)*100
Nagara,77,61,=100-(($B144-$C144)/$B144)*100
Isuzu,43,42,=100-(($B145-$C145)/$B145)*100
Kinu,41,31,=100-(($B146-$C146)/$B146)*100
Abukuma,18,18,=100-(($B147-$C147)/$B147)*100
Mogami,22,17,=100-(($B148-$C148)/$B148)*100
Mikuma,2,2,=100-(($B149-$C149)/$B149)*100
Furutaka,44,33,=100-(($B150-$C150)/$B150)*100
Kako,19,16,=100-(($B151-$C151)/$B151)*100
Aoba,21,19,=100-(($B152-$C152)/$B152)*100
Kinugasa,3,3,=100-(($B153-$C153)/$B153)*100
Myoukou,24,19,=100-(($B154-$C154)/$B154)*100
Nachi,13,8,=100-(($B155-$C155)/$B155)*100
Ashigara,17,15,=100-(($B156-$C156)/$B156)*100
Takao,1582,1095,=100-(($B157-$C157)/$B157)*100
Atago,2519,1559,=100-(($B158-$C158)/$B158)*100
Maya,105,87,=100-(($B159-$C159)/$B159)*100
Choukai,90,68,=100-(($B160-$C160)/$B160)*100
Kongou,70,61,=100-(($B161-$C161)/$B161)*100
Hiei,132,102,=100-(($B162-$C162)/$B162)*100
Haruna,68,63,=100-(($B163-$C163)/$B163)*100
Kirishima,45,38,=100-(($B164-$C164)/$B164)*100
Fusou,163,118,=100-(($B165-$C165)/$B165)*100
Yamashiro,810,584,=100-(($B166-$C166)/$B166)*100
Ise,26,24,=100-(($B167-$C167)/$B167)*100
Hyuuga,33,29,=100-(($B168-$C168)/$B168)*100
Nagato,375,253,=100-(($B169-$C169)/$B169)*100
Mutsu,80,73,=100-(($B170-$C170)/$B170)*100
Hiyou,13,12,=100-(($B171-$C171)/$B171)*100
Jun'you,23,21,=100-(($B172-$C172)/$B172)*100
Houshou,38,31,=100-(($B173-$C173)/$B173)*100
Shouhou,78,56,=100-(($B174-$C174)/$B174)*100
Ryuujou,53,43,=100-(($B175-$C175)/$B175)*100
Akagi,1230,1028,=100-(($B176-$C176)/$B176)*100
Kaga,1150,973,=100-(($B177-$C177)/$B177)*100
Souryuu,96,93,=100-(($B178-$C178)/$B178)*100
Hiryuu,104,101,=100-(($B179-$C179)/$B179)*100
Shoukaku,425,338,=100-(($B180-$C180)/$B180)*100
Zuikaku,369,306,=100-(($B181-$C181)/$B181)*100
Taihou,1401,744,=100-(($B182-$C182)/$B182)*100
Akashi,577,502,=100-(($B183-$C183)/$B183)*100
Z1_leberecht_maass,100,86,=100-(($B184-$C184)/$B184)*100
Z23,522,465,=100-(($B185-$C185)/$B185)*100
Z25,12,11,=100-(($B186-$C186)/$B186)*100
Konigsberg,18,14,=100-(($B187-$C187)/$B187)*100
Karlsruhe,17,15,=100-(($B188-$C188)/$B188)*100
Koln,19,16,=100-(($B189-$C189)/$B189)*100
Leipzig,42,28,=100-(($B190-$C190)/$B190)*100
Admiral_hipper,318,261,=100-(($B191-$C191)/$B191)*100
Prinz_eugen,2000,1443,=100-(($B192-$C192)/$B192)*100
Deutschland,390,309,=100-(($B193-$C193)/$B193)*100
Admiral_graf_spee,487,429,=100-(($B194-$C194)/$B194)*100
Scharnhorst,62,58,=100-(($B195-$C195)/$B195)*100
Gneisenau,130,83,=100-(($B196-$C196)/$B196)*100
Bismarck,176,150,=100-(($B197-$C197)/$B197)*100
Tirpitz,226,192,=100-(($B198-$C198)/$B198)*100
Graf_zeppelin,584,482,=100-(($B199-$C199)/$B199)*100
Anshan,24,24,=100-(($B200-$C200)/$B200)*100
Fu_shun,28,28,=100-(($B201-$C201)/$B201)*100
Chang_chun,52,42,=100-(($B202-$C202)/$B202)*100
Tai_yuan,33,27,=100-(($B203-$C203)/$B203)*100
Yat_sen,73,62,=100-(($B204-$C204)/$B204)*100
Ning_hai,360,280,=100-(($B205-$C205)/$B205)*100
Ping_hai,471,361,=100-(($B206-$C206)/$B206)*100
Avrora,67,48,=100-(($B207-$C207)/$B207)*100
Bailey,27,24,=100-(($B208-$C208)/$B208)*100
Z19_hermann_kunne,23,17,=100-(($B209-$C209)/$B209)*100
Z20_karl_galster,21,10,=100-(($B210-$C210)/$B210)*100
Z21,18,15,=100-(($B211-$C211)/$B211)*100
Z46,320,247,=100-(($B212-$C212)/$B212)*100
Kamikaze,39,33,=100-(($B213-$C213)/$B213)*100
Matsukaze,22,19,=100-(($B214-$C214)/$B214)*100
Mutsuki,290,238,=100-(($B215-$C215)/$B215)*100
Kisaragi,555,394,=100-(($B216-$C216)/$B216)*100
Uzuki,47,43,=100-(($B217-$C217)/$B217)*100
Minazuki,33,28,=100-(($B218-$C218)/$B218)*100
Fumizuki,64,48,=100-(($B219-$C219)/$B219)*100
Nagatsuki,20,17,=100-(($B220-$C220)/$B220)*100
Mikazuki,40,33,=100-(($B221-$C221)/$B221)*100
Kawakaze,80,78,=100-(($B222-$C222)/$B222)*100
Kiyonami,5,4,=100-(($B223-$C223)/$B223)*100
Niizuki,26,20,=100-(($B224-$C224)/$B224)*100
Harutsuki,21,15,=100-(($B225-$C225)/$B225)*100
Yoizuki,48,24,=100-(($B226-$C226)/$B226)*100
Radford,13,12,=100-(($B227-$C227)/$B227)*100
Jenkins,8,7,=100-(($B228-$C228)/$B228)*100
Nicholas,43,39,=100-(($B229-$C229)/$B229)*100
Richmond,13,12,=100-(($B230-$C230)/$B230)*100
Honolulu,879,530,=100-(($B231-$C231)/$B231)*100
St._louis,550,293,=100-(($B232-$C232)/$B232)*100
Jupiter,14,13,=100-(($B233-$C233)/$B233)*100
Jersey,7,6,=100-(($B234-$C234)/$B234)*100
Sendai,9,8,=100-(($B235-$C235)/$B235)*100
Jintsuu,33,30,=100-(($B236-$C236)/$B236)*100
Naka,6,6,=100-(($B237-$C237)/$B237)*100
Urakaze,23,12,=100-(($B238-$C238)/$B238)*100
Isokaze,23,20,=100-(($B239-$C239)/$B239)*100
Hamakaze,57,48,=100-(($B240-$C240)/$B240)*100
Tanikaze,23,20,=100-(($B241-$C241)/$B241)*100
Mikasa,234,192,=100-(($B242-$C242)/$B242)*100
Agano,23,22,=100-(($B243-$C243)/$B243)*100
Noshiro,67,58,=100-(($B244-$C244)/$B244)*100
Matchless,13,12,=100-(($B245-$C245)/$B245)*100
Musketeer,6,6,=100-(($B246-$C246)/$B246)*100
Fiji,18,14,=100-(($B247-$C247)/$B247)*100
Jamaica,30,22,=100-(($B248-$C248)/$B248)*100
Montpelier,105,102,=100-(($B249-$C249)/$B249)*100
Denver,46,44,=100-(($B250-$C250)/$B250)*100
Asashio,43,41,=100-(($B251-$C251)/$B251)*100
Ooshio,41,28,=100-(($B252-$C252)/$B252)*100
Michishio,9,8,=100-(($B253-$C253)/$B253)*100
Arashio,11,9,=100-(($B254-$C254)/$B254)*100
Abercrombie,37,23,=100-(($B255-$C255)/$B255)*100
Sussex,16,11,=100-(($B256-$C256)/$B256)*100
I-19,86,65,=100-(($B257-$C257)/$B257)*100
I-26,105,69,=100-(($B258-$C258)/$B258)*100
I-58,10,7,=100-(($B259-$C259)/$B259)*100
U-81,77,63,=100-(($B260-$C260)/$B260)*100
Dace,19,9,=100-(($B261-$C261)/$B261)*100
U-47,166,104,=100-(($B262-$C262)/$B262)*100
U-557,7,6,=100-(($B263-$C263)/$B263)*100
Z35,42,28,=100-(($B264-$C264)/$B264)*100
Z18,20,12,=100-(($B265-$C265)/$B265)*100
Le_triomphant,48,36,=100-(($B266-$C266)/$B266)*100
Forbin,29,21,=100-(($B267-$C267)/$B267)*100
Emile_bertin,28,17,=100-(($B268-$C268)/$B268)*100
Surcouf,34,22,=100-(($B269-$C269)/$B269)*100
Le_mars,24,21,=100-(($B270-$C270)/$B270)*100
Dunkerque,174,148,=100-(($B271-$C271)/$B271)*100
Jean_bart,108,104,=100-(($B272-$C272)/$B272)*100
Massachusetts,107,78,=100-(($B273-$C273)/$B273)*100
Bush,8,8,=100-(($B274-$C274)/$B274)*100
Centaur,28,19,=100-(($B275-$C275)/$B275)*100
Essex,131,99,=100-(($B276-$C276)/$B276)*100
Albacore,88,31,=100-(($B277-$C277)/$B277)*100
Le_temeraire,100,82,=100-(($B278-$C278)/$B278)*100
Memphis,30,26,=100-(($B279-$C279)/$B279)*100
Newcastle,47,38,=100-(($B280-$C280)/$B280)*100
Hobby,88,58,=100-(($B281-$C281)/$B281)*100
Kalk,52,42,=100-(($B282-$C282)/$B282)*100
Minneapolis,107,79,=100-(($B283-$C283)/$B283)*100
Hazelwood,3,3,=100-(($B284-$C284)/$B284)*100
Concord,42,38,=100-(($B285-$C285)/$B285)*100
Amagi,171,146,=100-(($B286-$C286)/$B286)*100
Kaga_(battleship),44,42,=100-(($B287-$C287)/$B287)*100
Hatakaze,9,8,=100-(($B288-$C288)/$B288)*100
Makinami,9,6,=100-(($B289-$C289)/$B289)*100
Sirius,1581,963,=100-(($B290-$C290)/$B290)*100
Curacoa,14,14,=100-(($B291-$C291)/$B291)*100
Curlew,13,13,=100-(($B292-$C292)/$B292)*100
Kimberly,21,20,=100-(($B293-$C293)/$B293)*100
Mullany,30,22,=100-(($B294-$C294)/$B294)*100
Chaser,10,9,=100-(($B295-$C295)/$B295)*100
Independence,55,54,=100-(($B296-$C296)/$B296)*100
Shangri-la,34,30,=100-(($B297-$C297)/$B297)*100
Z2_georg_thiele,12,12,=100-(($B298-$C298)/$B298)*100
Bunker_hill,10,9,=100-(($B299-$C299)/$B299)*100
I-13,40,30,=100-(($B300-$C300)/$B300)*100
Suzuya,98,69,=100-(($B301-$C301)/$B301)*100
Hiei-chan,31,26,=100-(($B302-$C302)/$B302)*100
Akagi-chan,111,88,=100-(($B303-$C303)/$B303)*100
Zeppelin-chan,73,62,=100-(($B304-$C304)/$B304)*100
U-556,32,22,=100-(($B305-$C305)/$B305)*100
U-73,11,8,=100-(($B306-$C306)/$B306)*100
Z36,22,13,=100-(($B307-$C307)/$B307)*100
Echo,4,3,=100-(($B308-$C308)/$B308)*100
Little_helena,19,16,=100-(($B309-$C309)/$B309)*100
Little_cleveland,12,10,=100-(($B310-$C310)/$B310)*100
Little_san_diego,10,8,=100-(($B311-$C311)/$B311)*100
Swiftsure,45,39,=100-(($B312-$C312)/$B312)*100
Le_malin,201,143,=100-(($B313-$C313)/$B313)*100
L'opiniatre,33,30,=100-(($B314-$C314)/$B314)*100
I-25,19,11,=100-(($B315-$C315)/$B315)*100
I-56,9,8,=100-(($B316-$C316)/$B316)*100
I-168,37,28,=100-(($B317-$C317)/$B317)*100
U-101,8,7,=100-(($B318-$C318)/$B318)*100
U-522,6,4,=100-(($B319-$C319)/$B319)*100
Alabama,45,35,=100-(($B320-$C320)/$B320)*100
Cavalla,13,7,=100-(($B321-$C321)/$B321)*100
Bataan,33,26,=100-(($B322-$C322)/$B322)*100
San_juan,4,3,=100-(($B323-$C323)/$B323)*100
Birmingham,12,12,=100-(($B324-$C324)/$B324)*100
Aylwin,26,24,=100-(($B325-$C325)/$B325)*100
Bache,136,64,=100-(($B326-$C326)/$B326)*100
Black_prince,37,24,=100-(($B327-$C327)/$B327)*100
Stanly,12,7,=100-(($B328-$C328)/$B328)*100
Littorio,39,36,=100-(($B329-$C329)/$B329)*100
Conte_di_cavour,6,6,=100-(($B330-$C330)/$B330)*100
Giulio_cesare,21,20,=100-(($B331-$C331)/$B331)*100
Zara,405,254,=100-(($B332-$C332)/$B332)*100
Trento,23,20,=100-(($B333-$C333)/$B333)*100
Carabiniere,17,14,=100-(($B334-$C334)/$B334)*100
U-110,21,19,=100-(($B335-$C335)/$B335)*100
Smalley,31,21,=100-(($B336-$C336)/$B336)*100
Glasgow,26,23,=100-(($B337-$C337)/$B337)*100
Kasumi,27,25,=100-(($B338-$C338)/$B338)*100
Suruga,25,25,=100-(($B339-$C339)/$B339)*100
Ryuuhou,11,9,=100-(($B340-$C340)/$B340)*100
Halsey_powell,16,14,=100-(($B341-$C341)/$B341)*100
Biloxi,7,7,=100-(($B342-$C342)/$B342)*100
Uranami,6,4,=100-(($B343-$C343)/$B343)*100
Grozny,25,20,=100-(($B344-$C344)/$B344)*100
Minsk,21,20,=100-(($B345-$C345)/$B345)*100
Tashkent,145,103,=100-(($B346-$C346)/$B346)*100
Pamiat_merkuria,84,55,=100-(($B347-$C347)/$B347)*100
Chapayev,143,91,=100-(($B348-$C348)/$B348)*100
Gangut,51,45,=100-(($B349-$C349)/$B349)*100
Sovetskaya_rossiya,90,82,=100-(($B350-$C350)/$B350)*100
Tone,1,1,=100-(($B351-$C351)/$B351)*100
Chikuma,1,1,=100-(($B352-$C352)/$B352)*100
Jeanne_d'arc,6,5,=100-(($B353-$C353)/$B353)*100
Richelieu,9,9,=100-(($B354-$C354)/$B354)*100
Pola,34,19,=100-(($B355-$C355)/$B355)*100
Vittorio_veneto,11,10,=100-(($B356-$C356)/$B356)*100
Kirov,6,6,=100-(($B357-$C357)/$B357)*100
Sovetsky_soyuz,3,3,=100-(($B358-$C358)/$B358)*100
Neptune,88,67,=100-(($B359-$C359)/$B359)*100
Monarch,127,98,=100-(($B360-$C360)/$B360)*100
Ibuki,80,70,=100-(($B361-$C361)/$B361)*100
Izumo,37,35,=100-(($B362-$C362)/$B362)*100
Roon,286,243,=100-(($B363-$C363)/$B363)*100
St._louis,550,293,=100-(($B364-$C364)/$B364)*100
Seattle,39,38,=100-(($B365-$C365)/$B365)*100
Georgia,37,35,=100-(($B366-$C366)/$B366)*100
Kitakaze,27,24,=100-(($B367-$C367)/$B367)*100
Azuma,143,91,=100-(($B368-$C368)/$B368)*100
Friedrich_der_grosse,100,74,=100-(($B369-$C369)/$B369)*100
Gascogne,103,95,=100-(($B370-$C370)/$B370)*100
